compound_id,compound_uid,compound_name,pubchem,inchikey,smiles
34126,PDBC00331,FQI-1,656346,,
34127,PDBC00422,FQI-2,,,
34137,PDBC01899,FSC231,,,
34163,PDBC00372,Fedratinib,16722836,,
34190,PDBC01885,Fingolimod,107970,,
34248,PDBC00914,Fluvastatin,446155,,
34251,PDBC00157,Foretinib,42642645,,
34288,PDBC00613,Fulvestrant,104741,,
34296,PDBC00229,Fumonisin B(1),3431,,
34332,PDBC00206,GANT-61,421610,,
34338,PDBC01861,GDC-0879,11717001,,
34350,PDBC00444,GMX-1778,,,
34372,PDBC01771,GSK-3 inhibitor IX,448949,,
34426,PDBC01901,GSK4112,50905018,,
34455,PDBC00365,GW-405833,9911463,,
34624,PDBC00134,GW843682X,9826308,,
34650,PDBC01981,Galunisertib,10090485,,
34668,PDBC00010,Gefitinib,123631,,
34675,PDBC00070,Gemcitabine,356653,,
34768,PDBC00186,Gossypol,3503,,
34783,PDBC00155,Gsk-461364,15983966,,
34835,PDBC00383,HLI 373,435678,,
35045,PDBC01968,Hyperforin,441298,,
35055,PDBC02238,I-Bet151 (gsk1210151A),,,
35060,PDBC01796,IC-87114,9908783,,
35109,PDBC01903,IPR-456,,,
35116,PDBC00493,ISOX,,,
35117,PDBC01918,ISOX:bortezomib (250:1 mol/mol),,,
35119,PDBC01809,IU1,675434,,
35136,PDBC01980,Idelalisib,11625818,,
35142,PDBC00949,Ifosfamide,3690,,
35155,PDBC00112,Imatinib,5291,,
35224,PDBC00384,Indisulam,216468,,
35314,PDBC00321,Isoevodiamine,151289,,
35327,PDBC00234,Isoliquiritigenin,638278,,
35412,PDBC00311,Itraconazole,14179013,,
35420,PDBC00517,Ixazomib,25183872,,
35476,PDBC02006,JQ-1:navitoclax (2:1 mol/mol),,,
35477,PDBC01994,JQ-1:vorinostat (2:1 mol/mol),,,
35479,PDBC00464,JQ1 compound,71300862,,
35489,PDBC01938,JW-480,57330099,,
35546,PDBC01992,KHS101,71304818,,
35550,PDBC00138,KIN001-135,117560,,
35567,PDBC00359,KU 0060648,,,
35568,PDBC00029,KU-55933,5278396,,
35569,PDBC01974,KU-60019,15953870,,
35575,PDBC01975,KW-2449,11427553,,
35577,PDBC01988,KX2-391,23635314,,
35603,PDBC02012,Ki8751,11317348,,
