experiment_id,pharmacodb_cell_id,cell_uid,cell_name,depmap_id,in_gdsc_train,in_gdsc_val_or_test,in_gdsc_response,pharmacodb_compound_id,compound_uid,ctrp_compound_name,gdsc_pubchem_id,gdsc_drug_name,match_type,aac,resistance_rank,ic50,ec50,hs,einf,dss1,dss2,dss3
3017908,810,HCC44_459_2019,HCC44,ACH-000667,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.2721425,-0.2721425,4.66961366,4.66961366,0.39400254,0.0,,,
3020692,814,HCC78_461_2019,HCC78,ACH-000562,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.03327341,-0.03327341,,0.53087905,1.98444625,91.61751547,,,
3025704,817,HCC95_463_2019,HCC95,ACH-000454,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.13064401,-0.13064401,,1.16650135,3.55582132,59.33419791,,,
3182205,822,HOP92_562_2019,HOP-92,ACH-000825,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.3190166,-0.3190166,0.58176103,0.2914387,1.31375946,29.8357155,,,
3193668,825,IALM_650_2019,IA-LM,ACH-000672,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.09991097,-0.09991097,,0.15347554,4.0,80.64505868,,,
3197336,828,KNS62_775_2019,KNS-62,ACH-000858,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0598745,-0.0598745,,5.15634797,4.0,66.4436168,,,
3201334,832,LC1F_830_2019,LC-1F,ACH-000705,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.00790143,-0.00790143,41.77625673,41.77625673,4.0,0.0,,,
3203497,834,LCLC103H_833_2019,LCLC-103H,ACH-000627,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0,-0.0,,0.13,1.0,100.0,,,
3210072,837,LOUNH91_854_2019,LOU-NH91,ACH-000176,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.51977251,-0.51977251,0.09518369,0.08368863,0.66706631,4.11363854,,,
3212401,838,LUDLU1_871_2019,LUDLU-1,ACH-000390,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.02895097,-0.02895097,26.69212156,26.69212156,4.0,0.0,,,
3214942,839,LXF289_872_2019,LXF 289,ACH-000787,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.07191141,-0.07191141,,0.19786286,4.0,85.37755049,,,
3237051,845,LU65_869_2019,Lu-65,ACH-000438,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.03923268,-0.03923268,,3.16543984,4.0,82.587632,,,
3240656,849,MOR/CPR_962_2019,MOR/CPR,ACH-000851,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.01224846,-0.01224846,,4.62830893,0.10778723,97.05394144,,,
3244317,852,NCIH1092_1001_2019,NCI-H1092,ACH-000514,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.1708455,-0.1708455,,0.68891681,1.21483609,54.14385211,,,
3245205,853,NCIH1105_1002_2019,NCI-H1105,ACH-000780,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.69609346,-0.69609346,0.01669175,0.01669175,0.53168174,0.0,,,
3246269,854,NCIH1155_1003_2019,NCI-H1155,ACH-000980,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.43517008,-0.43517008,0.35698669,0.35698669,1.40234998,0.0,,,
3247077,855,NCIH1184_1004_2019,NCI-H1184,ACH-000523,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.20373906,-0.20373906,,0.1926401,4.0,58.78721126,,,
3252926,860,NCIH1341_1009_2019,NCI-H1341,ACH-000129,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.52191844,-0.52191844,0.07222689,0.04737683,0.96827766,16.76110849,,,
3257327,862,NCIH1373_1011_2019,NCI-H1373,ACH-000845,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.01651951,-0.01651951,,1.2161258,4.0,94.79304072,,,
3258651,864,NCIH1395_1013_2019,NCI-H1395,ACH-000327,False,False,False,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.08931875,-0.08931875,,0.01164482,0.0,82.13625,,,
3261378,866,NCIH1435_1016_2019,NCI-H1435,ACH-000852,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.20266161,-0.20266161,,0.18318757,2.60231311,59.40228629,,,
3270081,872,NCIH1568_1022_2019,NCI-H1568,ACH-000869,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.10131241,-0.10131241,2869.60104585,2869.60104585,0.24764016,0.0,,,
3277867,877,NCIH1623_1026_2019,NCI-H1623,ACH-000744,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0102185,-0.0102185,,2.04796482,4.0,96.17522318,,,
3283097,879,NCIH1650_1028_2019,NCI-H1650,ACH-000035,False,True,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.29533508,-0.29533508,1.58683421,1.45302779,0.87939018,3.7271107,,,
3298952,890,NCIH1792_1039_2019,NCI-H1792,ACH-000496,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.0365843,-0.0365843,,0.05552818,4.0,94.04085697,,,
3301588,891,NCIH1793_1040_2019,NCI-H1793,ACH-000888,True,False,True,49000,PDBC00011,Navitoclax,24978538,Navitoclax,pubchem,0.6313474,-0.6313474,0.02257966,0.02257966,0.31039931,0.0,,,
