pubchem_id,GDSC_id,drug_name,TARGET,TARGET_PATHWAY
25126798,206,Ruxolitinib,"JAK1, JAK2","Other, kinases"
10109823,207,AS601245,"JNK1, JNK2, JNK2",JNK and p38 signaling
6450816,208,Ispinesib Mesylate,KSP,Mitosis
11338033,219,AT-7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
9952773,221,TAK-715,"p38alpha, p38beta",JNK and p38 signaling
11754511,222,BX-912,PDK1 (PDPK1),Metabolism
11647372,223,ZSTK474,PI3K (class 1),PI3K/MTOR signaling
5289247,224,AS605240,PI3Kgamma,PI3K/MTOR signaling
46885626,226,GSK1070916,"AURKA, AURKC",Mitosis
176167,229,Enzastaurin,PKCB,"Other, kinases"
11373846,230,GSK429286A,"ROCK1, ROCK2",Cytoskeleton
644243,231,FMK,RSK,"Other, kinases"
71748056,235,QL-XII-47,"BTK, BMX","Other, kinases"
9908783,236,IC-87114,PI3Kdelta,PI3K/MTOR signaling
11625818,238,Idelalisib,PI3Kdelta,PI3K/MTOR signaling
46224516,245,UNC0638,G9a and GLP methyltransferases,Chromatin histone methylation
25102847,249,Cabozantinib,"VEGFR, MET, RET, KIT, FLT1, FLT3, FLT4, TIE2,AXL",RTK signaling
42628507,252,WZ3105,"SRC, ROCK2, NTRK2, FLT3, IRAK1, others",Other
73265211,253,XMD14-99,"ALK, CDK7, LTK, others","Other, kinases"
24889392,254,Quizartinib,FLT3,RTK signaling
9874913,255,CP724714,ERBB2,EGFR signaling
69923936,256,JW-7-24-1,LCK,"Other, kinases"
46843648,257,NPK76-II-72-1,PLK3,Cell cycle
704473,258,STF-62247,Autophagy inducer,Other
53340664,260,NG-25,"TAK1, M4K2","Other, kinases"
11634725,262,VX-11e,ERK2,ERK MAPK signaling
11493598,263,FR-180204,"ERK1, ERK2",ERK MAPK signaling
53340666,264,ACY-1215,HDAC6,Chromatin histone acetylation
53394750,265,Tubastatin A,"HDAC1, HDAC6, HDAC8",Chromatin histone acetylation
9910224,266,Zibotentan,Endothelin-1 receptor (EDNRA),Other
11178236,268,Sepantronium bromide,BIRC5,Apoptosis regulation
42640,269,NSC-207895,MDM4,p53 pathway
24894414,271,VNLG/124,"HDAC,RAR",Chromatin histone acetylation
6918848,272,AR-42,HDAC1,Chromatin histone acetylation
24756910,273,CUDC-101,"HDAC1-10, EGFR, ERBB2",Other
6918638,274,Belinostat,HDAC1,Chromatin histone acetylation
46943432,275,I-BET-762,"BRD2, BRD3, BRD4",Chromatin other
24951314,276,CAY10603,"HDAC1, HDAC6",Chromatin histone acetylation
11485656,277,Linifanib,"VEGFR1, VEGFR2, VEGFR3, CSF1R, FLT3, KIT",RTK signaling
135659062,279,BIX02189,"MEK5, ERK5",ERK MAPK signaling
49806720,281,Alectinib,ALK,RTK signaling
6445562,282,Pelitinib,EGFR,EGFR signaling
25167777,283,Omipalisib,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling
46911863,284,JNJ38877605,MET,RTK signaling
9549297,285,SU11274,MET,RTK signaling
56965967,287,KIN001-244,PDK1,"Other, kinases"
3796,288,WHI-P97,JAK3,"Other, kinases"
6539732,289,KIN001-042,GSK3B,WNT signaling
135465539,290,KIN001-260,CDC7,DNA replication
44143370,291,KIN001-266,CDC7,DNA replication
10074640,292,Masitinib,"KIT, PDGFRA, PDGFRB",RTK signaling
11282283,293,Amuvatinib,"KIT, PDGFRA, FLT3",RTK signaling
25195352,294,MPS-1-IN-1,MPS1,Mitosis
16747388,295,NVP-BHG712,"EPHB4, RAF, SRC, ABL","Other, kinases"
9868037,298,OSI-930,"KIT, VEGFR2",RTK signaling
135398516,299,OSI-027,"MTORC1, MTORC2",PI3K/MTOR signaling
25257557,300,CX-5461,RNA Polymerase 1,Other
46191454,301,PHA-793887,"CDK2, CDK7, CDK5",Cell cycle
9884685,302,PI-103,"PI3Kalpha, DAPK3, CLK4, PIM3, HIPK2","Other, kinases"
6852167,303,PIK-93,PK3CG,PI3K/MTOR signaling
9967941,304,SB52334,ALK5,RTK signaling
9903786,305,TPCA-1,IKK2,"Other, kinases"
16722836,306,Fedratinib,JAK2,"Other, kinases"
42642645,308,Foretinib,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",RTK signaling
9810884,309,Y-39983,ROCK,Cytoskeleton
9956222,310,YM201636,PIKFYVE,PI3K/MTOR signaling
9911830,312,Tivozanib,"VEGFR1, VEGFR2, VEGFR3, PDGFR, KIT",RTK signaling
25260757,317,WYE-125132,mTOR,PI3K/MTOR signaling
