pubchem_id,drug_name,mean_pred_logIC50,median_pred_logIC50,std_pred_logIC50,mean_true_logIC50,n_test_cells,n_pairs
60838,Irinotecan,2.7321581927741447,2.8212203979492188,0.8661812975116239,3.8389090772082164,41,41
9936746,OTX015,2.757973049138043,2.7342634201049805,0.4587917445218828,3.252291730932287,37,37
11626560,Crizotinib,2.8257290386572116,2.8517041206359863,0.5004190178042811,3.59599686250454,41,41
2155128,IWP-2,2.8599212427397034,2.8625078201293945,0.29125601354161723,2.9859610957068368,37,37
992586,UMI-77,2.8912480070784286,2.8609464168548584,0.30856194364027106,2.9536854785841866,37,37
176870,Erlotinib,2.8932525995301037,2.8755013942718506,0.49294594981696177,3.2406908164664014,41,41
5328940,Bosutinib,2.9376580540726827,2.9749197959899902,0.36865854353545446,3.248649331127725,41,41
71268957,GSK343,2.941517417495315,2.9426522254943848,0.33448173189855446,3.015878165090406,37,37
46930998,MK-2206,2.966961125532786,2.9493523836135864,0.5085477879817436,2.4256018073785874,42,42
9825149,NVP-ADW742,3.0189591500817277,2.97591233253479,0.4186504092569963,3.610839273871445,41,41
123631,Gefitinib,3.0280966235370173,3.01078200340271,0.4431186875387142,3.2981734559303377,41,41
24866313,SCH772984,3.0832128132261882,3.142918586730957,0.9253834957704303,3.3170106556357406,41,41
51039095,AZD4547,3.094658060771663,3.161283493041992,0.41269488357290673,3.114328980445862,41,41
10077147,BX795,3.108519196510315,3.2213540077209473,0.29531230542416387,3.0664076805114746,4,4
104741,Fulvestrant,3.1129683808582587,3.1235363483428955,0.3159551602414117,2.881466188808767,41,41
51042438,Uprosertib,3.125276932120323,3.088030457496643,0.5622854978845461,2.390188673324883,40,40
6450551,Axitinib,3.13043806382588,3.1494027376174927,0.5238168985990719,3.4345625596387044,42,42
84691,Cisplatin,3.2543998332250688,3.317617893218994,0.8085614551753343,4.459825896081471,42,42
11634725,VX-11e,3.290047165824146,3.3655142784118652,0.652225784009832,3.403994949852548,41,41
16224745,MK-8776,3.3229559659957886,3.3453290462493896,0.4554684246993598,3.4634381960015164,40,40
11327430,NU7441,3.3367437502232993,3.3608193397521973,0.43480803320307115,3.041289378230165,41,41
52913813,AZD8186,3.3503106977881454,3.3676934242248535,0.46818235756511445,2.917140641227001,41,41
208908,Lapatinib,3.3541231329848125,3.4457952976226807,0.7099543823617406,2.197883481477819,41,41
9813758,BMS-345541,3.366606551247674,3.391510486602783,0.5000684997086652,3.747526423351185,37,37
44462758,PRT062607,3.4243616413425757,3.512463092803955,0.407829789619374,4.145993297164504,37,37
59472121,VE-822,3.4247545487171895,3.4391729831695557,0.522117127551144,3.402763875880958,37,37
9943465,GW441756,3.4446275359705876,3.483952045440674,0.3075654258519222,3.444059249601866,38,38
46943432,I-BET-762,3.474103998493504,3.5222554206848145,0.45776554941762854,3.7643006516469493,37,37
5460769,Bleomycin (50 uM),3.541240949888487,3.6690282821655273,0.9014882518493712,4.903975038915067,37,37
56649450,Alpelisib,3.5445745747263837,3.6541759967803955,0.5445459570484246,3.098095341153988,41,41
24788740,Ipatasertib,3.5475791605507454,3.6004738807678223,0.5022438445581371,2.667221172190294,41,41
9858940,SB505124,3.5803162455558777,3.6122905015945435,0.25755218058446105,4.8681416511535645,4,4
9938202,EHT-1864,3.5823727786540984,3.545841932296753,0.25672953373977286,3.398416757583618,40,40
71297207,WEHI-539,3.583091539144516,3.589116334915161,0.3259604390066571,3.583947605639696,40,40
25227847,Pyridostatin,3.619752210378647,3.6743417978286743,0.3762222974973417,3.90490483045578,40,40
51371303,PF-4708671,3.6202326921316295,3.620347261428833,0.2980626920248013,3.9384937592041798,39,39
11488320,Sapitinib,3.632607707163183,3.804208993911743,1.025828795288546,2.994936933968125,41,41
2984337,WIKI4,3.7590236140460505,3.769444704055786,0.2058504061130282,3.8141114944364967,41,41
644241,Nilotinib,3.7642560354093226,3.750913381576538,0.3737284341288878,2.842958821756084,41,41
10127622,Selumetinib,3.859843126157435,4.005087852478027,0.7019625794932084,4.187426305398708,41,41
59473233,Entospletinib,3.8947575092315674,3.9313454627990723,0.3593201067705706,4.227342844009399,37,37
1401,PD173074,3.899032927694775,3.902078151702881,0.280765689231117,4.450382533527556,42,42
44137675,AZD6482,3.9000477979057715,3.940037965774536,0.4209485259301257,3.436273922653575,38,38
11640390,Linsitinib,3.9199963604531636,3.8814735412597656,0.32722582602014194,4.557281819785514,41,41
44631912,Ribociclib,3.9305767714977264,3.9417612552642822,0.36832608326625427,4.220371651649475,40,40
11609586,Serdemetan,3.9493813979916457,3.974708080291748,0.375465062793097,4.2228466097901505,41,41
53469448,GSK2606414,3.9577917794923523,3.9733378887176514,0.31253783315175826,4.122082098110302,37,37
2733526,Tamoxifen,3.9680887373482308,3.992560625076294,0.24169155164591874,3.8389462029061665,41,41
5330286,Palbociclib,4.057291706403096,4.132351875305176,0.505861063788331,4.259984232130504,42,42
5310940,Oxaliplatin,4.074433419762588,4.2239089012146,0.6780783159949235,4.897486279650432,41,41
9931953,Rucaparib,4.099183158176701,4.110616207122803,0.3353901533947698,4.340091783825944,41,41
71271629,PFI-1,4.10374128818512,4.089796781539917,0.23693042836782086,4.514973816275597,40,40
51000408,VE821,4.1698024621823935,4.191009521484375,0.46107053586495583,4.625223827071306,41,41
35397514,OF-1,4.181350501807961,4.160394191741943,0.33010292324557305,3.6932228948618913,37,37
24821094,Ibrutinib,4.194719627925328,4.30125093460083,0.8211671284015851,3.4370658108166285,35,35
46926973,LGK974,4.257207882113573,4.192338943481445,0.3573233294791257,3.9587960999186445,41,41
72200024,WZ4003,4.283748259415498,4.2780609130859375,0.2827088286411532,4.650892547658972,37,37
25124816,GSK1904529A,4.359963655471802,4.317811012268066,0.320249498210499,4.327129739086803,41,41
