pharmacodb_compound_id,compound_uid,ctrp_compound_name,ctrp_pubchem,ctrp_inchikey,ctrp_smiles,gdsc_pubchem_id,gdsc_drug_name,gdsc_inchikey,match_type
28599,PDBC00346,BIBR-1532,9927531,,,9927531,BIBR-1532,PGFQXGLPJUCTOI-UHFFFAOYSA-N,pubchem
29348,PDBC00097,Bexarotene,82146,,,82146,Bexarotene,NAVMQTYZDKMPEU-UHFFFAOYSA-N,pubchem
29596,PDBC00095,Bms-754807,24785538,,,24785538,BMS-754807,LQVXSNNAFNGRAH-UHFFFAOYSA-N,pubchem
29633,PDBC00037,Bortezomib,387447,,,387447,Bortezomib,GXJABQQUPOEUTA-UHFFFAOYSA-N,pubchem
29636,PDBC00019,Bosutinib,5328940,,,5328940,Bosutinib,UBPYILGKFZZVDX-UHFFFAOYSA-N,pubchem
29660,PDBC01860,Brivanib,11234052,,,11234052,"Brivanib, BMS-540215",WCWUXEGQKLTGDX-UHFFFAOYSA-N,pubchem
30198,PDBC02008,Cabozantinib,25102847,,,25102847,Cabozantinib,ONIQOQHATWINJY-UHFFFAOYSA-N,pubchem
30282,PDBC01857,Canertinib,156414,,,156414,CI-1033,OMZCMEYTWSXEPZ-UHFFFAOYSA-N,pubchem
30738,PDBC00077,Chir-99021,9956119,,,9956119,CHIR-99021,AQGNHMOJWBZFQQ-UHFFFAOYSA-N,pubchem
31229,PDBC00177,Cyclophosphamide,2907,,,2907,Cyclophosphamide,CMSMOCZEIVJLDB-UHFFFAOYSA-N,pubchem
31388,PDBC00470,Daporinad,6914657,,,6914657,Daporinad,KPBNHDGDUADAGP-UHFFFAOYSA-N,pubchem
31394,PDBC00119,Dasatinib,3062316,,,3062316,Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,pubchem
32564,PDBC00513,EX-527,5113032,,,5113032,Selisistat,FUZYTVDVLBBXDL-UHFFFAOYSA-N,pubchem
34163,PDBC00372,Fedratinib,16722836,,,16722836,Fedratinib,JOOXLOJCABQBSG-UHFFFAOYSA-N,pubchem
34251,PDBC00157,Foretinib,42642645,,,42642645,Foretinib,CXQHYVUVSFXTMY-UHFFFAOYSA-N,pubchem
34288,PDBC00613,Fulvestrant,104741,,,104741,Fulvestrant,VWUXBMIQPBEWFH-UHFFFAOYSA-N,pubchem
34624,PDBC00134,GW843682X,9826308,,,9826308,GW843682X,JSKUWFIZUALZLX-UHFFFAOYSA-N,pubchem
