model,seed,subset,gdsc_pubchem_id,drug_name,n_pairs,n_cells,spearman,pearson
bandrp_gate,2021,no_gdsc_response,11960529,Veliparib,212,210,0.05878574967273561,0.08042195438147323
bandrp_gate,2021,no_gdsc_response,11977753,Dactolisib,149,147,0.21193218199233482,0.3292868604117282
bandrp_gate,2021,no_gdsc_response,123631,Gefitinib,214,212,0.11854746677977285,-0.01799055780227435
bandrp_gate,2021,no_gdsc_response,126941,Methotrexate,175,173,0.3023952605241639,0.2532206112364874
bandrp_gate,2021,no_gdsc_response,135423438,BIBF-1120,177,176,0.19213825703695178,0.34284259534602757
bandrp_gate,2021,no_gdsc_response,148124,Docetaxel,98,97,0.5281083338407501,0.6009101136716208
bandrp_gate,2021,no_gdsc_response,156414,CI-1033,206,203,0.08329446636684254,0.07095322035292186
bandrp_gate,2021,no_gdsc_response,159324,Tipifarnib,272,208,0.36265136761676375,0.46608760673314853
bandrp_gate,2021,no_gdsc_response,15953870,KU-60019,197,194,0.3170203874218621,0.39430594276261416
bandrp_gate,2021,no_gdsc_response,16038120,NVP-TAE684,205,202,0.12947309881221927,0.24143635827304122
bandrp_gate,2021,no_gdsc_response,16659841,AZD1480,104,103,0.30671976408444124,0.4308001232546086
bandrp_gate,2021,no_gdsc_response,16722836,Fedratinib,203,201,0.37174070060108416,0.48738177179685893
bandrp_gate,2021,no_gdsc_response,17755052,Pictilisib,212,210,0.17473401826846915,0.22806691354680425
bandrp_gate,2021,no_gdsc_response,208908,Lapatinib,198,196,0.1486477503216037,0.044910228923582644
bandrp_gate,2021,no_gdsc_response,2130404,AGK2,182,180,0.00563593977880566,0.011973538718113175
bandrp_gate,2021,no_gdsc_response,216239,Sorafenib,219,216,0.2760666893439652,0.32737652474710655
bandrp_gate,2021,no_gdsc_response,227681,MIRA-1,126,126,0.34158065329354903,0.4520017257766368
bandrp_gate,2021,no_gdsc_response,23582824,GSK1059615,133,131,0.04034094821772799,0.09318495126748991
bandrp_gate,2021,no_gdsc_response,23725625,Olaparib,215,212,0.3456991222906809,0.4112367610926861
bandrp_gate,2021,no_gdsc_response,24180719,PLX-4720,216,214,0.0636131342479197,0.04038889301702012
bandrp_gate,2021,no_gdsc_response,24771867,Alisertib,204,201,0.4100293202973149,0.5630061166936178
bandrp_gate,2021,no_gdsc_response,24772860,SNX-2112,216,214,0.4195761019803666,0.49915778183737913
bandrp_gate,2021,no_gdsc_response,24785538,BMS-754807,207,204,0.09901512189382439,0.15440311565229117
bandrp_gate,2021,no_gdsc_response,24821094,Ibrutinib,141,139,0.0892356034840939,0.12385584833474399
bandrp_gate,2021,no_gdsc_response,24856436,MK-1775,194,192,0.4613136718648835,0.4964827232923625
bandrp_gate,2021,no_gdsc_response,24889392,Quizartinib,208,205,0.1489791128388888,0.31070035603414115
bandrp_gate,2021,no_gdsc_response,24978538,Navitoclax,201,199,0.3290305050274472,0.45881919367308116
