,pc1,pc2,split,modality
ACH-000558,4.328988572437883,-2.292201457776165,train,methylation
ACH-000852,-10.650194100912842,0.12154480805529227,train,methylation
ACH-000639,-8.329307293499264,1.247626811010449,train,methylation
ACH-000811,-5.223440075045567,0.6788319410662502,train,methylation
ACH-000595,-3.987022462815011,-2.4747436446119924,train,methylation
ACH-000090,-4.782837272296948,-0.5844685839534435,train,methylation
ACH-000292,-7.95362793070775,0.29413445637590596,train,methylation
ACH-000496,-8.213932569198736,-1.1208369045702768,train,methylation
ACH-000985,5.769771934478883,-9.090968399240687,train,methylation
ACH-000129,-0.5003333409955437,-3.3857963494602337,train,methylation
ACH-000228,12.444688861079957,30.179500767683468,train,methylation
ACH-000568,-4.491498221780414,-2.367411724045884,train,methylation
ACH-000574,-5.363223579482711,0.7707828864475093,train,methylation
ACH-000521,-2.8439844675200248,1.2957861184931982,train,methylation
ACH-000770,6.900824215461238,-4.2875415212289685,train,methylation
ACH-000318,-6.218812878177698,0.7507399924527963,train,methylation
ACH-000528,0.02408526009259625,-5.482839807865275,train,methylation
ACH-000806,29.42948703120876,-12.187162389141905,train,methylation
ACH-000092,13.214995612001365,28.107741696635756,train,methylation
ACH-000672,-2.9428201494889037,-6.377023715906783,train,methylation
ACH-000392,-7.346295777978088,-1.5554633562384657,train,methylation
ACH-000560,13.051271832907148,8.184261337955098,train,methylation
ACH-000305,4.947113352412698,8.152128944162875,train,methylation
ACH-000896,2.014290372557875,8.773710101385031,train,methylation
ACH-000308,13.864614612829904,28.26013595391775,train,methylation
ACH-000660,22.121051651607168,-9.805674721843314,train,methylation
ACH-000617,-6.860454486654327,-0.9243585931154493,train,methylation
ACH-000250,4.1871527592445705,10.323624956945423,train,methylation
ACH-000864,3.7899665255924613,12.552711676173752,train,methylation
ACH-000200,-5.429583114865874,0.2504175227439973,train,methylation
ACH-000301,-4.783920900733043,-0.023760760682293172,train,methylation
ACH-000472,0.14323393438321488,-2.971936833596596,train,methylation
ACH-000589,-9.132468478881364,-0.854859482568025,train,methylation
ACH-000201,-6.235658465461714,-0.9724570525538359,train,methylation
ACH-000890,-2.894807354460412,-2.9113781739546,train,methylation
ACH-000750,2.7663245102357163,-5.569333452869369,train,methylation
ACH-000249,2.609941462875056,-7.959402146264979,train,methylation
ACH-000369,-3.9599839100770553,-0.8187561683539646,train,methylation
ACH-000400,0.6639411708150044,3.5545930577607896,train,methylation
ACH-000482,-8.795509911291916,0.22979345722224592,train,methylation
ACH-000657,-5.664496937223577,0.485720604113958,train,methylation
ACH-000643,-8.337928196154419,-1.0753329652144088,train,methylation
ACH-000751,2.1622866204567965,-1.009586451988465,train,methylation
ACH-000800,-1.4498146540768333,2.6084516359115546,train,methylation
ACH-000830,-2.1928276064211345,3.701221973507943,train,methylation
ACH-000614,-3.9799049118413987,0.6663242456265926,train,methylation
ACH-000257,-2.496034909054231,6.970596424052888,train,methylation
ACH-000652,-0.6121675222033404,-2.485648077163418,train,methylation
