,pc1,pc2,split,modality
ACH-000924,6.9488963241585004,-1.583265278726709,train,mutation
ACH-000702,-0.6662706056606441,-0.046391205431698765,train,mutation
ACH-000112,-4.282291976853471,-0.36222944776229443,train,mutation
ACH-000814,-1.3175039521851095,0.21367324747939317,train,mutation
ACH-000168,-4.07874419774413,0.35486826202772337,train,mutation
ACH-000408,-1.6456722769331635,0.43288522730135204,train,mutation
ACH-000082,-5.518833384447437,1.3079579049955983,train,mutation
ACH-000828,-1.1877242851819974,-1.0541757833223224,train,mutation
ACH-000522,-1.9053137717921718,1.345211904969525,train,mutation
ACH-000824,0.9782594592739632,-0.012978952007900562,train,mutation
ACH-000874,2.77270016736153,-3.119063138341117,train,mutation
ACH-000855,0.9443704317206228,-2.918231748401499,train,mutation
ACH-000717,-2.3796957602203124,-0.12915549731022133,train,mutation
ACH-000188,-5.6761388225824065,0.41684988916016114,train,mutation
ACH-000667,-2.6170500590052965,0.367672739757356,train,mutation
ACH-000978,43.199463958869075,-6.650053632612796,train,mutation
ACH-000115,-4.890664303384454,0.14738488374299027,train,mutation
ACH-000678,-3.027484738025677,-0.9172447848570866,train,mutation
ACH-000525,-3.1788609794327387,-0.4586666614736076,train,mutation
ACH-000475,-3.0750988153861614,0.8613439177350781,train,mutation
ACH-000042,-4.937665403885595,0.15263887944691323,train,mutation
ACH-000627,-2.4750929471653493,0.8458359827775882,train,mutation
ACH-000183,-3.6587812377739186,0.31789791511366583,train,mutation
ACH-000756,-0.46076274558710933,-0.13376156031929473,train,mutation
ACH-000547,-4.615829215862165,1.7689786725243668,train,mutation
ACH-000349,-4.609079254925619,0.01618800501331498,train,mutation
ACH-000651,-2.4781900479218852,0.7154047007753138,train,mutation
ACH-001075,-3.3999043734276957,-0.9643205968657438,train,mutation
ACH-000277,-3.9704577691310514,0.47723964629887006,train,mutation
ACH-000613,-4.919946843959689,0.082735611985516,train,mutation
ACH-000930,17.2295091855435,-2.1065952980293408,train,mutation
ACH-000986,34.153171522212006,-4.353678577883533,train,mutation
ACH-000637,-1.7743541638914506,0.7820563651252309,train,mutation
ACH-000478,-4.192169350763807,-0.02357415510926646,train,mutation
ACH-000117,-3.8804916983803794,1.997262478096836,train,mutation
ACH-000713,-3.8082425886386435,0.5103565340251235,train,mutation
ACH-000113,-4.337031194013009,0.8283578951336854,train,mutation
ACH-000949,13.26330700553696,-2.1505382973208347,train,mutation
ACH-000358,-2.49628685056261,0.8743451872119844,train,mutation
ACH-000857,-4.299505083645781,0.30098217049537834,train,mutation
ACH-000376,-3.342348525777313,1.5231752361303237,train,mutation
ACH-001306,-3.424044935321048,0.8017234956948586,train,mutation
ACH-000886,-0.029493999997188342,0.5461713649198957,train,mutation
ACH-000374,-4.4002686265509965,-0.5687900553210374,train,mutation
ACH-000914,10.802579683927185,-4.509519813209859,train,mutation
ACH-000352,-4.062857016101558,0.6160722497274168,train,mutation
ACH-000124,-4.484030465821258,0.5693943786628675,train,mutation
ACH-000913,3.158743474092223,-1.8577650146894547,train,mutation
ACH-000111,-4.329933714510047,0.6235369360941156,train,mutation
ACH-000677,-3.8712450348393053,1.0279522330380335,train,mutation
ACH-000464,-4.958031768509143,0.7440288013568761,train,mutation
ACH-000493,-3.1310352684102445,-0.56881993927417,train,mutation
ACH-000059,-4.257780171356416,0.3020998784394784,train,mutation
ACH-000624,-3.5715332152240458,0.212115668863088,train,mutation
ACH-000880,1.9002101847240835,-1.4065662024233507,train,mutation
ACH-000341,-5.328402595117054,0.4886330190062472,train,mutation
ACH-000554,-2.8757750755849587,1.0236050693988359,train,mutation
ACH-000379,-2.9407146193995057,0.07509484687219195,train,mutation
ACH-000754,-0.7152853399443857,-0.885296485334654,train,mutation
ACH-000804,2.1198657211439276,-0.4363231179684456,train,mutation
ACH-000939,13.69582627294883,-6.342238461562505,train,mutation
ACH-000674,-1.404732997850749,0.5875371980419716,train,mutation
ACH-000615,-2.6397050881921182,-0.22212575318491887,train,mutation
ACH-000269,-2.158117447561755,0.8556510724091426,train,mutation
ACH-000207,-4.451131449308291,1.997361335188677,train,mutation
ACH-000729,-1.3447333956957765,0.37472326152038055,train,mutation
ACH-000181,-3.0922825739398,0.8324340601053775,train,mutation
ACH-000879,4.235159631038322,-1.8122290174396734,train,mutation
ACH-000654,-1.3783239132848186,1.5847100759705968,train,mutation
ACH-000425,-2.973692757853942,0.9303483846195304,train,mutation
ACH-000893,0.21795971215688995,0.09920398070173811,train,mutation
ACH-000248,-0.4237699124961598,-0.6013646771800347,train,mutation
ACH-000056,-4.196109561697189,0.9206496108564899,train,mutation
ACH-000149,-4.516728386441694,0.8020678722726676,train,mutation
ACH-000222,-4.599324942232834,0.8410822947112909,train,mutation
ACH-000535,-4.517269366271675,0.5921888141437098,train,mutation
ACH-000840,-1.141064376491585,-1.285834087703699,train,mutation
ACH-000212,-4.269868385115151,0.639719631636993,train,mutation
