tissue,drug_name,n_cells,scc_bcgdrp,scc_drugmean,drugmean_reason
URINARY_TRACT,Picolinici-acid,14,0.1956043956043956,,"constant within a drug, rank undefined"
URINARY_TRACT,Pictilisib,15,0.2321428571428571,,"constant within a drug, rank undefined"
URINARY_TRACT,Pyridostatin,15,0.27499999999999997,,"constant within a drug, rank undefined"
URINARY_TRACT,Refametinib,15,0.5428571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,Ribociclib,14,0.4769230769230769,,"constant within a drug, rank undefined"
URINARY_TRACT,Rucaparib,15,0.4892857142857142,,"constant within a drug, rank undefined"
URINARY_TRACT,Ruxolitinib,14,0.178021978021978,,"constant within a drug, rank undefined"
URINARY_TRACT,SB216763,15,0.38928571428571423,,"constant within a drug, rank undefined"
URINARY_TRACT,SCH772984,15,0.557142857142857,,"constant within a drug, rank undefined"
URINARY_TRACT,SGC0946,15,0.3214285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,SN-38,14,0.1384615384615385,,"constant within a drug, rank undefined"
URINARY_TRACT,Sabutoclax,14,0.4153846153846154,,"constant within a drug, rank undefined"
URINARY_TRACT,Sapitinib,15,0.4107142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Savolitinib,15,0.1714285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Selumetinib,15,0.3285714285714285,,"constant within a drug, rank undefined"
URINARY_TRACT,Sepantronium bromide,15,-0.12857142857142856,,"constant within a drug, rank undefined"
URINARY_TRACT,Serdemetan,15,0.32499999999999996,,"constant within a drug, rank undefined"
URINARY_TRACT,Sorafenib,15,0.3,,"constant within a drug, rank undefined"
URINARY_TRACT,Tamoxifen,15,0.5499999999999999,,"constant within a drug, rank undefined"
URINARY_TRACT,Tanespimycin,15,-0.05357142857142857,,"constant within a drug, rank undefined"
URINARY_TRACT,Taselisib,15,0.4464285714285714,,"constant within a drug, rank undefined"
URINARY_TRACT,Telomerase Inhibitor IX,15,0.1857142857142857,,"constant within a drug, rank undefined"
URINARY_TRACT,Temozolomide,15,-0.021428571428571425,,"constant within a drug, rank undefined"
URINARY_TRACT,Temsirolimus,15,-0.2678571428571428,,"constant within a drug, rank undefined"
URINARY_TRACT,Trametinib,15,0.5392857142857141,,"constant within a drug, rank undefined"
URINARY_TRACT,UMI-77,14,0.2351648351648352,,"constant within a drug, rank undefined"
URINARY_TRACT,Uprosertib,14,0.6483516483516484,,"constant within a drug, rank undefined"
URINARY_TRACT,VE-822,14,0.17362637362637365,,"constant within a drug, rank undefined"
URINARY_TRACT,VE821,15,0.6249999999999999,,"constant within a drug, rank undefined"
