,pc1,pc2,split,modality
ACH-000092,10.71179112396752,0.49742949108156365,train,pathway
ACH-000672,9.726303959007755,0.577827915244141,train,pathway
ACH-000392,15.185835940762491,-20.90707043101379,train,pathway
ACH-000560,-18.639388399075827,0.7887832111977009,train,pathway
ACH-000305,4.403906159442436,-24.1416376277684,train,pathway
ACH-000896,27.56063672322045,5.165066115937975,train,pathway
ACH-000308,-1.4809607550218018,-12.062335962796585,train,pathway
ACH-000660,-22.970873117399805,1.976544184802163,train,pathway
ACH-000617,7.933294993134294,-16.77891597983193,train,pathway
ACH-000250,6.099387722082184,-3.2700308103454545,train,pathway
ACH-000864,-16.013363013137436,4.364707222319407,train,pathway
ACH-000200,20.098150457897397,11.597102110138666,train,pathway
ACH-000301,-16.09710309933861,-13.311350884258136,train,pathway
ACH-000472,11.718175412498875,-22.085828354778357,train,pathway
ACH-000589,-2.8710427919849018,-18.762908686645453,train,pathway
ACH-000201,-8.868188007482335,-9.082448469821102,train,pathway
ACH-000890,1.4438191537513712,24.822041822599484,train,pathway
ACH-000750,1.8614670767787713,-0.14623616281684232,train,pathway
ACH-000249,15.248915611482849,6.037830538092293,train,pathway
ACH-000369,-21.200120863703642,-6.172824776874419,train,pathway
ACH-000400,3.964658853296672,-17.130348924424815,train,pathway
ACH-000482,9.04373935000877,-4.449500449545725,train,pathway
ACH-000657,-14.791731589327858,5.827724865505291,train,pathway
ACH-000643,8.3625356018685,-26.784014477222847,train,pathway
ACH-000751,-16.689808469447563,-13.533289607199286,train,pathway
ACH-000800,-15.533051000581697,6.9055955199680055,train,pathway
ACH-000830,-19.276823761497752,15.321711758796296,train,pathway
ACH-000614,11.941633707173137,8.543017561205296,train,pathway
ACH-000257,-12.791305997796364,12.614781817852833,train,pathway
ACH-000652,6.225403066511258,2.08875031901898,train,pathway
ACH-000439,-14.186772642425545,-18.801358102269578,train,pathway
ACH-000875,23.544253389762485,7.84635847732956,train,pathway
ACH-000433,10.757511309347066,-24.802947619057772,train,pathway
ACH-000267,-9.229413292083812,9.766212928985725,train,pathway
ACH-000878,-7.958379340567129,-2.723801867378594,train,pathway
ACH-000621,-1.921013226474036,0.18252142119041567,train,pathway
ACH-000749,-6.359291031565205,-5.790887300371042,train,pathway
ACH-000802,-0.3705484575525092,-17.221509022115143,train,pathway
ACH-000644,9.727909083592776,5.885457311942204,train,pathway
ACH-000995,-23.904368399684305,1.6041118250500133,train,pathway
ACH-000938,-25.32314709230728,-1.0399126999405708,train,pathway
ACH-000586,-20.245021778989052,9.992419520202263,train,pathway
ACH-000781,2.7313173790397367,-12.373819087113901,train,pathway
ACH-000722,5.6465556656051845,-10.808327636594715,train,pathway
ACH-000655,21.958266379502984,12.173021753123683,train,pathway
ACH-000231,17.816730048859718,12.872974311614636,train,pathway
ACH-000363,-19.32318590341333,-6.758364817754714,train,pathway
ACH-000662,-0.9443710200356288,-19.360175402240834,train,pathway
ACH-000720,8.318543917839026,2.7029038048747807,train,pathway
ACH-000703,-16.175449330924284,16.524784451096686,train,pathway
ACH-000625,6.585188042413349,12.883070110970408,train,pathway
ACH-000320,4.342736205211674,-7.374873918041015,train,pathway
ACH-000768,18.404916339391416,7.655705500973749,train,pathway
ACH-000457,15.739202513542791,-11.926485587046875,train,pathway
ACH-000935,20.070571725647337,7.583518822849001,train,pathway
ACH-000743,-2.8337566718029237,9.179269491327366,train,pathway
ACH-000347,-14.928770551741195,-12.077628915492319,train,pathway
ACH-000633,5.969133660435382,2.0833924947683484,train,pathway
ACH-000288,8.987692353305361,9.583920043600191,train,pathway
ACH-000389,1.7762436445262728,-2.882559990283028,train,pathway
ACH-000508,-18.792633898322418,13.638966701570173,train,pathway
ACH-000456,10.160300873271673,-7.439814423873061,train,pathway
ACH-000238,9.544924756194776,-15.705368121767032,train,pathway
ACH-000247,3.7241308814419884,-4.254001799812797,train,pathway
ACH-000748,10.85848303919942,16.528040805993747,train,pathway
ACH-000440,-25.968743672492927,-0.4772928772119463,train,pathway
ACH-000846,-5.337613100877768,5.827100769483355,train,pathway
ACH-000718,17.548797659696948,-4.044682184579605,train,pathway
ACH-000260,-0.3339807787840021,3.72328574110188,train,pathway
ACH-000997,2.440544876966932,21.19399663563257,train,pathway
ACH-000567,-27.471368969480043,2.249622190764934,train,pathway
