drug_name,modality,n_train,n_test,spearman,pearson,alpha
PD0325901,methylation,427,54,0.551743853630646,0.5241862355764456,533.6699231206308
PD0325901,mutation,427,54,0.3201448446731465,0.23306879813404097,1519.9110829529332
PD0325901,pathway,427,54,0.6946826758147512,0.6831321816451875,1519.9110829529332
PD0325901,expression+methylation,427,54,0.6777587192681532,0.6796286573427359,533.6699231206308
PD0325901,all four,427,54,0.743319992376596,0.7287505063495602,1519.9110829529332
SCH772984,expression,425,54,0.7382123117972174,0.7109721183128688,533.6699231206308
SCH772984,methylation,425,54,0.6178387650085763,0.5770494610696926,1519.9110829529332
SCH772984,mutation,425,54,0.4204688393367638,0.4170927625201356,1519.9110829529332
SCH772984,pathway,425,54,0.6615971031065371,0.6655521021248813,1519.9110829529332
SCH772984,expression+methylation,425,54,0.7711454164284351,0.7465516818049057,1519.9110829529332
SCH772984,all four,425,54,0.7880693729750332,0.7631152004401127,4328.761281083057
Selumetinib,expression,420,53,0.659812933397839,0.7087478173161468,1519.9110829529332
Selumetinib,methylation,420,53,0.6539267860022577,0.5396297431259726,1519.9110829529332
Selumetinib,mutation,420,53,0.19085631349782295,0.16729621392916721,1519.9110829529332
Selumetinib,pathway,420,53,0.6145782938235769,0.6130375835422321,1519.9110829529332
Selumetinib,expression+methylation,420,53,0.7280277374616996,0.7137601388968592,1519.9110829529332
Selumetinib,all four,420,53,0.6518303499435576,0.6525291249630315,1519.9110829529332
BIBR-1532,expression,417,54,0.6487897846388412,0.6303837542198547,1519.9110829529332
BIBR-1532,methylation,417,54,0.513093196112064,0.5164222212091534,1519.9110829529332
BIBR-1532,mutation,417,54,0.1932914046121593,0.2343036777854714,4328.761281083057
BIBR-1532,pathway,417,54,0.6991042500476462,0.6951124538889767,4328.761281083057
BIBR-1532,expression+methylation,417,54,0.6102915951972555,0.6110532034664307,1519.9110829529332
BIBR-1532,all four,417,54,0.6773775490756623,0.6934917329039141,12328.467394420659
IWP-2,expression,392,54,0.7642081189251,0.6918626656335234,1519.9110829529332
IWP-2,methylation,392,54,0.4572136458928911,0.48851082527271444,1519.9110829529332
IWP-2,mutation,392,54,-0.06895368782161233,0.04129706602797984,1519.9110829529332
IWP-2,pathway,392,54,0.7642081189251,0.6914690117318418,4328.761281083057
IWP-2,expression+methylation,392,54,0.6792071659996188,0.6511374294721535,1519.9110829529332
IWP-2,all four,392,54,0.7671812464265293,0.6914335228646016,4328.761281083057
Leflunomide,expression,393,54,0.7292929292929292,0.7701513625434844,1519.9110829529332
Leflunomide,methylation,393,54,0.5966457023060796,0.7366767983130877,1519.9110829529332
Leflunomide,mutation,393,54,0.02755860491709548,0.086112545896523,1519.9110829529332
Leflunomide,pathway,393,54,0.7024585477415665,0.7534741215222152,4328.761281083057
Leflunomide,expression+methylation,393,54,0.7269296740994853,0.7759730407914078,4328.761281083057
Leflunomide,all four,393,54,0.7029921860110538,0.7646241964632944,12328.467394420659
CCT007093,expression,415,52,0.6859899257235549,0.6355942714871536,1519.9110829529332
CCT007093,methylation,415,52,0.4817723896525228,0.48543615020495645,533.6699231206308
CCT007093,mutation,415,52,0.04413899086485101,0.0799657954679889,1519.9110829529332
CCT007093,pathway,415,52,0.6894903099120635,0.6616655143757275,4328.761281083057
CCT007093,expression+methylation,415,52,0.6335695381200375,0.626149955476911,1519.9110829529332
CCT007093,all four,415,52,0.6739520191240501,0.6572093642353756,4328.761281083057
Obatoclax Mesylate,expression,362,43,0.5909090909090909,0.6134249981871704,1519.9110829529332
Obatoclax Mesylate,methylation,362,43,0.42071881606765327,0.3902546632530061,1519.9110829529332
Obatoclax Mesylate,mutation,362,43,0.1621866505587436,0.24169791985284245,1519.9110829529332
Obatoclax Mesylate,pathway,362,43,0.5745998187858653,0.6093347699022944,4328.761281083057
Obatoclax Mesylate,expression+methylation,362,43,0.47795228027786163,0.4915791602840435,1519.9110829529332
Obatoclax Mesylate,all four,362,43,0.5132890365448506,0.5675355275001981,4328.761281083057
EHT-1864,expression,415,53,0.5545073375262054,0.5534696446960996,1519.9110829529332
EHT-1864,methylation,415,53,0.3277697145621674,0.3079666582197664,1519.9110829529332
EHT-1864,mutation,415,53,0.3671988388969521,0.3141541367122043,35111.917342151275
EHT-1864,pathway,415,53,0.5895823254313819,0.5796106412370868,4328.761281083057
EHT-1864,expression+methylation,415,53,0.5339461377197225,0.5264916120918045,4328.761281083057
EHT-1864,all four,415,53,0.5278987260119336,0.5516997797357179,4328.761281083057
Pyridostatin,expression,416,54,0.7379073756432245,0.7248091040425215,1519.9110829529332
Pyridostatin,methylation,416,54,0.5808652563369544,0.575619107757597,1519.9110829529332
Pyridostatin,mutation,416,54,0.24398704021345527,0.3120672105935397,1519.9110829529332
Pyridostatin,pathway,416,54,0.6498570611778158,0.656485617287148,4328.761281083057
Pyridostatin,expression+methylation,416,54,0.6774537831141604,0.6806208334720181,4328.761281083057
Pyridostatin,all four,416,54,0.7069563560129597,0.7036373913261698,4328.761281083057
Avagacestat,expression,424,53,0.6994839542009353,0.6536375931060708,1519.9110829529332
Avagacestat,methylation,424,53,0.568537332688276,0.5565387739199037,1519.9110829529332
Avagacestat,mutation,424,53,-0.018303499435574907,-0.0058450077544307324,4328.761281083057
Avagacestat,pathway,424,53,0.6782776971456217,0.6252459936453635,4328.761281083057
