gdsc_pubchem_id,drug_name,n_cells,bandrp_gate,bcgdrp,delta
104842,SN-38,181,0.4394222343628346,0.36622109433990896,-0.07320114002292566
11175137,AT7867,191,0.36693222548195187,0.29177997367845265,-0.07515225180349921
9933475,Cediranib,94,-0.04099411190983634,-0.11756962756926628,-0.07657551565942994
44259,Staurosporine,66,0.06913554480693236,-0.00916435297126736,-0.07829989777819972
5287969,Flavopiridol,104,0.47357516270137634,0.39134321988690923,-0.08223194281446711
51039095,AZD4547,170,0.3086635732775761,0.22570476802543857,-0.08295880525213753
46224516,UNC0638,202,0.23782836035059035,0.1522401154164168,-0.08558824493417355
42642645,Foretinib,211,0.29834325514973054,0.21250292725986525,-0.08584032788986529
82146,Bexarotene,199,0.18994872824454656,0.10294342601586341,-0.08700530222868315
462382,MG-132,73,0.25481714045230563,0.15023880221664904,-0.1045783382356566
9903786,TPCA-1,213,0.2717215761106762,0.16314440286508644,-0.10857717324558977
6918638,Belinostat,107,0.541695346385034,0.41121593266555767,-0.13047941371947636
9911830,Tivozanib,191,0.15621874440725758,0.02329564707918078,-0.1329230973280768
104741,Fulvestrant,44,-0.35680394108625385,-0.48994921810527003,-0.13314527701901618
5329102,Sunitinib,210,0.3856138460943114,0.2516161899958404,-0.13399765609847097
6918837,Panobinostat,219,0.48335299311306884,0.33999395109170166,-0.14335904202136718
9884685,PI-103,206,0.310085286258197,-0.00975362209418482,-0.3198389083523818
452548,Teniposide,110,0.5072306389550674,0.16099798612665026,-0.3462326528284171
