drug_name,n_cells_ceiling,ceiling_rho,bcgdrp,bandrp_gate,n_cells_model,frac_of_ceiling
MK-2206,400,0.48518487337763083,0.3250950991697851,0.2981497616563046,200,0.6700437647749086
Telomerase Inhibitor IX,433,0.4807975885976332,0.4141403968675106,0.3508956805788465,211,0.861361218710466
Alpelisib,279,0.4767979444976824,0.2898002047607718,-0.0374034967462821,125,0.607805063140704
Ibrutinib,286,0.4759856195079588,0.4150216512309931,0.0821740641399132,139,0.8719205669700987
AZD6482,111,0.4635135135135135,0.06546852087374,0.0655653547757987,216,0.141244039202821
PLX-4720,433,0.4630049928815676,0.2625545735565482,0.0994735857456408,214,0.5670663979723157
Lapatinib,425,0.4418507040660446,0.3408023214110051,0.101625115556747,196,0.7713065030220354
Ruxolitinib,427,0.4314385021253707,0.3718809840982946,0.3663361047353203,214,0.8619559503065181
Bosutinib,381,0.43049711098044396,0.3045239127489774,0.216388840432152,175,0.7073773667271158
AZD8055,376,0.416331169930583,0.2959833893286848,0.2972130239599286,223,0.7109325717265791
Serdemetan,410,0.4050816821737746,0.3971750542246717,0.4299646415044219,206,0.9804813984511127
AZD4547,377,0.4028137225129154,0.2257047680254385,0.3086635732775761,170,0.5603204543713174
Tretinoin,79,0.3997179823251199,0.3173750739857668,0.3747993365966839,211,0.7939974882781792
Dactolisib,330,0.399116612641071,0.1739353780800576,0.1969196388895654,147,0.43580089771026187
Cediranib,201,0.3880094576621841,-0.1175696275692662,-0.0409941119098363,94,-0.30300711811933934
Methotrexate,314,0.3780237823534965,0.2232178870646055,0.1683870039581109,173,0.5904863595483276
Tozasertib,11,0.3727272727272728,0.5121774193548386,0.5729032258064516,31,1.3741345397324936
MIRA-1,296,0.35461224847725853,0.2808766941197632,0.3312480900580355,126,0.7920670967398239
Temsirolimus,235,0.3434367905343722,0.2149553584335744,0.2570408741909704,115,0.6258949662880134
NVP-ADW742,441,0.3277146716832092,0.1519720462983586,0.2213321685958219,200,0.4637328121984873
Gefitinib,437,0.3132220756208335,0.2382487853653205,0.0364291696985918,212,0.760638549799182
KU-55933,429,0.3043564200684854,0.2110515317595927,0.2560225920853801,207,0.6934354521324128
Venotoclax,241,0.29974155409611597,0.3758659915329904,0.3809478030566703,109,1.2539669138182428
TW 37,165,0.2880468357110918,0.3448218772919645,0.2976385215318941,209,1.1971035072845497
Sorafenib,448,0.2617276971659865,0.2266879228499068,0.2507981336246256,216,0.8661212600137707
PRIMA-1MET,201,0.2387817236585624,0.1897282823004243,0.2135349158273833,96,0.794567856339456
Temozolomide,424,0.2143766652615198,0.2556748861551464,0.1976775191791636,202,1.1926432657362525
Fulvestrant,76,0.15111954568678365,-0.48994921810527,-0.3568039410862538,44,-3.2421300360494607
Veliparib,448,0.1456037787539798,0.0409689905402497,0.0482630795708167,210,0.28137312706336537
BIBR-1532,435,0.1397944315771789,0.1571828958948222,0.1664703260590007,205,1.1243859581634574
Nilotinib,414,0.12169762423534586,0.1369998581553296,0.1449848346498242,195,1.1257397916855914
Cyclophosphamide,226,0.005943559010992257,0.0617681934125745,0.038304979222712,105,10.392459012914303
