tissue,drug_name,n_cells,slope,sd_ratio
URINARY_TRACT,SN-38,14,0.11693982853167605,0.6326303082856195
URINARY_TRACT,Sabutoclax,14,1.0530799070750936,0.36040689924963737
URINARY_TRACT,Sapitinib,15,0.43576825466141816,0.9848602083758591
URINARY_TRACT,Savolitinib,15,0.2013698753267839,0.4378897835500565
URINARY_TRACT,Selumetinib,15,0.7227987262055978,0.8035785088031686
URINARY_TRACT,Sepantronium bromide,15,0.24900356220537304,0.7730813595958833
URINARY_TRACT,Serdemetan,15,0.9865758725824646,0.3019733447054849
URINARY_TRACT,Sorafenib,15,0.6219634770226837,0.351012070337461
URINARY_TRACT,Tamoxifen,15,1.4233594065416129,0.3821004012474609
URINARY_TRACT,Tanespimycin,15,0.016952612576435867,0.3762142894270012
URINARY_TRACT,Taselisib,15,0.9790139646451645,0.5039987600472292
URINARY_TRACT,Telomerase Inhibitor IX,15,0.2806597729459568,0.3113138728142668
URINARY_TRACT,Temozolomide,15,-0.5109324559788595,0.39550661798267156
URINARY_TRACT,Temsirolimus,15,-0.34944136833634887,0.40694919784645833
URINARY_TRACT,Trametinib,15,0.9121300567765569,0.6638647118249427
URINARY_TRACT,UMI-77,14,1.2981019828721112,0.1448734843951373
URINARY_TRACT,Uprosertib,14,1.4425795490333666,0.48443203489296194
URINARY_TRACT,VE-822,14,0.524769324216457,0.4921396849716214
URINARY_TRACT,VE821,15,1.1432681727795073,0.5032014000421317
URINARY_TRACT,VX-11e,15,1.1369833227905835,0.48533629116968907
URINARY_TRACT,Veliparib,15,0.4886106885917387,0.6493253132507002
URINARY_TRACT,Venotoclax,15,1.1227995301249414,0.4032098607472845
URINARY_TRACT,Vinblastine,13,1.0846021123066683,0.34023086819992
URINARY_TRACT,Vinorelbine,15,1.4332385055583425,0.3816153039111731
URINARY_TRACT,Vismodegib,15,-0.21093919371728714,0.49039283493148383
URINARY_TRACT,Vorinostat,15,0.5749004381136475,0.28780120650294866
URINARY_TRACT,WEHI-539,15,-0.7056429575371991,0.29751977496975457
URINARY_TRACT,WIKI4,15,0.7338672330487535,0.3405862647749085
URINARY_TRACT,WZ4003,14,2.188500089227499,0.25684561480337936
URINARY_TRACT,Wee1 Inhibitor,15,0.4020238420250827,0.49675878972747173
URINARY_TRACT,Wnt-C59,14,0.7585510676308,0.6992330863319302
URINARY_TRACT,YK-4-279,15,0.5064996047658054,0.4897049810222926
URINARY_TRACT,ZM447439,15,0.5175115752168377,0.39113657884135905
BREAST,5-Fluorouracil,42,0.37124750531162654,0.3914892184384805
BREAST,ABT737,41,0.043077979802447326,0.39167220447673373
BREAST,AGI-5198,41,-0.38381508427519434,0.2826928738536911
BREAST,AGI-6780,36,0.4297263386348148,0.39919061937109596
BREAST,AMG-319,40,0.397790701969851,0.2798714060311247
BREAST,AZ960,37,0.22050353813056717,0.3198654737440313
BREAST,AZD3759,41,1.3819624162786652,0.2696932205476885
BREAST,AZD4547,41,0.2835160534238622,0.3132348833640512
BREAST,AZD5582,36,0.4609470673728923,0.1942081881426321
BREAST,AZD6482,38,0.7423885492003206,0.2630437506465247
BREAST,AZD6738,41,0.3798428106878501,0.2956842571975147
BREAST,AZD7762,42,1.2847398817850646,0.24494598656263036
BREAST,AZD8055,40,0.306417411908912,0.46150207803194604
BREAST,AZD8186,41,1.0829847095942033,0.2811832904749054
BREAST,Afatinib,40,0.4635331395276254,0.2725119510236778
BREAST,Afuresertib,41,0.46783348775491346,0.30905237598356433
BREAST,Alisertib,39,0.06786151262736817,0.4726425651752403
BREAST,Alpelisib,41,0.30719903453717196,0.34782688496899355
BREAST,Avagacestat,41,-1.0336131062789184,0.25510532460343455
