tissue,depmap_id,cell_line_name,n_drugs,prec@1_bcgdrp,prec@1_drugmean,prec@1_random,ndcg@1_bcgdrp,ndcg@1_drugmean,prec@3_bcgdrp,prec@3_drugmean,prec@3_random,ndcg@3_bcgdrp,ndcg@3_drugmean,prec@5_bcgdrp,prec@5_drugmean,prec@5_random,ndcg@5_bcgdrp,ndcg@5_drugmean,prec@10_bcgdrp,prec@10_drugmean,prec@10_random,ndcg@10_bcgdrp,ndcg@10_drugmean
BREAST,ACH-000643,HDQ-P1,158,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.02,1.0,0.992466642273152,0.8,0.6,0.03,0.9959702104069538,0.9710338283856961,0.9,0.9,0.059000000000000004,0.9859288171527395,0.9801994623815407
BREAST,ACH-000668,HCC70,160,1.0,1.0,0.005,1.0,1.0,0.6666666666666666,0.6666666666666666,0.02333333333333333,0.8164627182777293,0.9537162765311747,0.4,0.6,0.022000000000000002,0.7872610571825862,0.9498405003267825,0.5,0.6,0.06,0.8195250204891428,0.9160209133466747
BREAST,ACH-000691,HCC2157,151,0.0,0.0,0.01,0.9956404594892244,0.9956404594892244,0.6666666666666666,1.0,0.021666666666666664,0.9717884612035554,0.9992422035537749,0.6,0.6,0.033,0.9511266881265402,0.9539442037388126,0.8,0.8,0.06449999999999999,0.9757840455990715,0.97283615350451
BREAST,ACH-000699,HCC1395,129,0.0,0.0,0.02,0.9781793785564852,0.9781793785564852,0.6666666666666666,0.6666666666666666,0.025,0.9280535278546375,0.937916150378349,0.6,0.6,0.04,0.890428268420257,0.8977361338813551,0.9,0.9,0.0735,0.9425566117218097,0.9465713835832581
BREAST,ACH-000755,HCC2218,158,0.0,0.0,0.02,0.8380009742031834,0.8380009742031834,0.3333333333333333,0.6666666666666666,0.015,0.8730065200260383,0.9207856463942812,0.4,0.6,0.028000000000000004,0.8590606180954867,0.9146825444977104,0.6,0.7,0.059000000000000004,0.8810889440240822,0.9257729233079768
BREAST,ACH-000759,MDA-MB-175-VII,129,1.0,1.0,0.01,1.0,1.0,0.6666666666666666,0.6666666666666666,0.028333333333333332,0.9576299531173185,0.9698430798967254,0.4,0.6,0.042,0.9185064664998474,0.9320904516800009,0.5,0.6,0.0675,0.9055433823934568,0.9123406069490219
BREAST,ACH-000768,MDA-MB-231,160,0.0,1.0,0.02,0.9940375096944833,1.0,0.6666666666666666,0.6666666666666666,0.028333333333333332,0.9958446070997183,0.9897352041329903,1.0,1.0,0.02,0.9988862698602281,0.9943200903329353,0.8,1.0,0.05800000000000001,0.9788290684549231,0.9941485151267205
BREAST,ACH-000783,CAMA-1,160,0.0,0.0,0.005,0.9840314149934308,0.9840314149934308,0.6666666666666666,1.0,0.018333333333333333,0.8110375422486028,0.9940374277761936,0.6,0.6,0.029000000000000005,0.8365110800319784,0.9753451926556526,0.8,0.8,0.059,0.9085213575712449,0.9510806794339278
BREAST,ACH-000818,BT-483,121,0.0,0.0,0.0,0.7117325140057424,0.7117325140057424,0.6666666666666666,1.0,0.014999999999999998,0.6687876607406955,0.911607855248604,0.4,0.6,0.038,0.7010947795996223,0.8832510592016364,0.6,0.6,0.0845,0.8158406482231859,0.8846065280582585
BREAST,ACH-000828,ZR-75-30,160,0.0,0.0,0.015,0.9778215104595899,0.9778215104595899,0.6666666666666666,0.6666666666666666,0.019999999999999997,0.9060474654064743,0.9628409753686044,0.6,0.6,0.026000000000000002,0.91227608567591,0.8969021151441803,0.6,0.5,0.055999999999999994,0.8697061027862472,0.860573175700405
BREAST,ACH-000849,MDA-MB-468,159,1.0,1.0,0.005,1.0,1.0,1.0,1.0,0.02,1.0,0.997219613958943,0.8,0.8,0.028000000000000004,0.9998791635768786,0.9924208937169342,1.0,1.0,0.064,0.999977311136828,0.9949262192560211
BREAST,ACH-000856,CAL-51,158,1.0,0.0,0.005,1.0,0.9275517811754374,0.6666666666666666,0.6666666666666666,0.016666666666666666,0.9957077205020698,0.9757622473943109,0.8,1.0,0.028999999999999998,0.9901446262265606,0.9848316549020404,0.8,0.8,0.059,0.9796284032680241,0.9707451126295459
BREAST,ACH-000857,CAL-85-1,160,0.0,1.0,0.0,0.8328078827302849,1.0,0.6666666666666666,0.6666666666666666,0.016666666666666666,0.9449571378762907,0.9788193268630759,0.8,0.8,0.033,0.8806950330080944,0.9775610664786593,0.7,0.7,0.0575,0.914749353505973,0.9485204792387615
BREAST,ACH-000859,HCC1954,158,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.03166666666666666,0.9887985891126433,0.9887985891126433,0.6,0.8,0.026000000000000002,0.8977836733064767,0.9811749358674071,0.7,0.7,0.063,0.9299312762940147,0.9411762490288331
BREAST,ACH-000876,MDA-MB-415,159,0.0,0.0,0.0,0.9485989546331269,0.9485989546331269,0.3333333333333333,0.6666666666666666,0.021666666666666664,0.6831811478027605,0.9804548541818858,0.4,0.6,0.03900000000000001,0.6835297828977911,0.9829630697814475,0.7,0.8,0.0605,0.8021349340718941,0.9355551575584781
BREAST,ACH-000910,MDA-MB-453,160,0.0,0.0,0.01,0.9813148058484462,0.9813148058484462,1.0,0.6666666666666666,0.019999999999999997,0.9947223179047902,0.986039950356048,1.0,1.0,0.033,0.9947577547443199,0.9952281308776519,0.7,0.8,0.06449999999999999,0.9744668847169383,0.9875902254296082
BREAST,ACH-000927,BT-474,158,0.0,0.0,0.005,0.912495559357788,0.912495559357788,1.0,1.0,0.015,0.9787143074118945,0.9787143074118945,0.8,0.8,0.027000000000000003,0.8983094110356653,0.9724970566995597,0.7,0.7,0.061,0.9076932483640753,0.9271083198523381
BREAST,ACH-000930,HCC1569,163,1.0,1.0,0.005,1.0,1.0,0.6666666666666666,0.6666666666666666,0.021666666666666664,0.9892639429110234,0.9888441933969432,0.8,1.0,0.040999999999999995,0.9946017187593383,0.997338212579604,0.7,0.7,0.058499999999999996,0.9806653438605394,0.9784477573465363
BREAST,ACH-000934,MDA-MB-361,158,0.0,0.0,0.0,0.8621009991660441,0.8621009991660441,0.3333333333333333,0.3333333333333333,0.01833333333333333,0.890059890032364,0.84711418164377,1.0,0.8,0.038000000000000006,0.9590520602659239,0.9268877643671217,0.7,0.8,0.0645,0.9198903424654646,0.9411692848135088
